,Institution_Name,Type,Geocode_Input,Lat,Lng
0,CMEI CLAUDETE COSTA MACIEL,kgar,"RUA SERRA DOS CARAJAS, 3160, NATAL-RN",-5.857714199999999,-35.2420553
1,CMEI HAYDEE MONTEIRO BEZERRA DE MELO,kgar,"RUA JOSÉ SELEDON, 70, NATAL-RN",-5.8893862,-35.1711533
2,CMEI KÁTIA FAGUNDES GARCIA,kgar,"RUA PROFESSORA ANA DJANIRA, 1960, NATAL-RN",-5.8431913,-35.2184725
3,CMEI MARIA CELONI CAMPOS,kgar,"RUA BAIA FORMOSÁ, 1517, NATAL-RN",-5.8210033,-35.2241209
4,CMEI MOEMA TINOCO DA CUNHA LIMA,kgar,"RUA JACUI, 217, NATAL-RN",-5.8579219,-35.2059297
5,CMEI PROFA ANTÔNIA FERNANDA JALLES,kgar,"RUA RIO SUASSUI, 7701, NATAL-RN",-5.8544103,-35.2404611
6,CMEI PROFA CARMEM MARIA REIS,kgar,"RUA JOÃO DE DEUS DE LIMA, , NATAL-RN",-5.887648,-35.1702008
7,CMEI PROFA LIBÂNIA MEDEIROS,kgar,"AV. SÃO MIGUEL DOS CARIBES, 4334, NATAL-RN",-5.868752499999999,-35.2078515
8,CMEI PROFA Mª DOS MARTIRIOS LISBOA DE MENEZES,kgar,"RUA ENGENHEIRO JOAQUIM CARDOSO, 2020, NATAL-RN",-5.850428700000001,-35.2401642
9,CMEI PROFA MARIA EUNICE DAVIM,kgar,"RUA SOBRALIA, S/N, NATAL-RN",-5.874696,-35.2100584
10,CMEI PROFA MARIA LUIZA SANTOS DE SOUZA,kgar,"JANDAIA, 8075, NATAL-RN",-5.8685394,-35.2350366
11,CMEI VILMA TEIXEIRA DOURADO DUTRA,kgar,"RUA DOS AMARANTOS, 156, NATAL-RN",-5.8409859,-35.2061315
12,CMEI AMOR DE MÃE,kgar,"RUA FELICIANO DIAS, 239, NATAL-RN",-5.7787516,-35.1954227
13,CMEI CLARA CAMARÃO,kgar,"RUA JAGUARARI, 1122, NATAL-RN",-5.7953947,-35.2094133
14,CMEI PROFA CLAUDIA OLIVEIRA DE FARIAS,kgar,"RUA ESPLANADA SILVA JARDIM, 169, NATAL-RN",-5.7756003,-35.2021278
15,CMEI PROFA DARILENE BRANDÃO MARTINS,kgar,"RUA AGOSTINHO LEITÃO, 322, NATAL-RN",-5.7939792,-35.2204361
16,CMEI GALDINA BARBOSÁ SILVEIRA GUIMARÃES,kgar,"RUA JOÃO XXIII, 1565, NATAL-RN",-5.7986433,-35.1853916
17,CMEI JOSÉ ALVES SOBRINHO,kgar,"RUA JÚLIO GOMES MOREIRA, 876, NATAL-RN",-5.7995155,-35.2087341
18,CMEI MARIA EULALIA GOMES DA SILVA,kgar,"RUA NOSSA SENHORA APARECIDA, 40, NATAL-RN",-5.786813,-35.2120245
19,CMEI NOSSA SENHORA DE LOURDES,kgar,"RUA JOÃO XXIII, 1215, NATAL-RN",-5.7969817,-35.1869427
20,CMEI PADRE JOÃO PERESTRELLO,kgar,"RUA JOÃO XXIII, 729, NATAL-RN",-5.793807,-35.1892892
21,CMEI PROFA VILMA MARIA DE FARIA,kgar,"RUA MARCOS CAVALCANTE, 585, NATAL-RN",-5.799463500000001,-35.2355016
22,CMEI BOM SÁMARITANO,kgar,"RUA PASTOR JOSINO GALVAO, 102, NATAL-RN",-5.823037200000001,-35.2584484
23,CMEI CARMEM FERNANDES PEDROZA,kgar,"RUA JERUSÁLEM, 115, NATAL-RN",-5.842247599999999,-35.2076647
24,CMEI CLEA BEZERRA DE MELO,kgar,"AV NSRA DO LIVRAMENTO, 31, NATAL-RN",-5.8289382,-35.2493206
25,CMEI DRA ZILDA ARNS,kgar,"AV. INDUSTRIAL JOÃO FRANCISCO DA MOTTA, 45, NATAL-RN",-5.818073099999999,-35.2501665
26,CMEI FREI DAMIÃO,kgar,"RUA PEDRINHO BEZERRA, 1185, NATAL-RN",-5.8230303,-35.2530705
27,CMEI IRMA DULCE,kgar,"AV PERNAMBUCO, , NATAL-RN",-5.8257978,-35.2360555
28,CMEI JESIEL FIGUEIREDO,kgar,"RUA HERMITA CANSÁCAO, , NATAL-RN",-5.8120217,-35.2327367
29,CMEI JESUS BOM PASTOR,kgar,"SOLANGE NUNES DO NASCIMENTO, 56, NATAL-RN",-5.8297707,-35.2393122
30,CMEI JOSÉ ALENCAR GOMES DA SILVA,kgar,"RUA DOS PAIANAZES, 455, NATAL-RN",-5.8018648,-35.2258669
31,CMEI MISSIONARIO ODILON DOS SANTOS,kgar,"RUA SÃO NICOLAU, 1977, NATAL-RN",-5.828837999999999,-35.2468198
32,CMEI NOSSA SENHORA DE FÁTIMA,kgar,"RUA IJUI, 375, NATAL-RN",-5.8226431,-35.2413173
33,CMEI NOSSA SENHORA AUXILIADORA,kgar,"RUA ALFREDO EDELTRUDES, 30, NATAL-RN",-5.8000986,-35.2399137
34,CMEI PROF ARNALDO ARSENIO DE AZEVEDO,kgar,"TRAVESSÁ TREZE DE MAIO, , NATAL-RN",-5.8093233,-35.227698
35,CMEI PROFA ELAINE DO NASCIMENTO LOPES,kgar,"AVENIDA DOS CAICOS, 16, NATAL-RN",-5.8075849,-35.2275187
36,CMEI PROFA FRANCISCA ANASTACIA DE SOUTO,kgar,"DOS PAIATIS, 2002, NATAL-RN",-5.8028567,-35.230474
37,CMEI PROFA MARIA DO SOCORRO LIMA,kgar,"RUA CLAUDIONOR FIGUEIREDO, 1797, NATAL-RN",-5.8263666,-35.202186
38,CMEI PROFA MARIA ILKA SOARES DA SILVA,kgar,"AVENIDA SOLANGE NUNES DO NASCIMENTO, 297, NATAL-RN",-5.832986,-35.2408526
39,CMEI PROFA MARIA ITACIRA BENTO,kgar,"RUA ABREULANDIA, 238, NATAL-RN",-5.845078,-35.2474925
40,CMEI PROFA MARIA SÁLETE ALVES BILA,kgar,"RUA DA LAGOA SECA, , NATAL-RN",-5.8415656,-35.2749027
41,CMEI PROFA MARILANDA BEZERRA DE PAIVA,kgar,"AV SOLANGE NUNES DO NASCIMENTO, 316, NATAL-RN",-5.8330578,-35.2412558
42,CMEI PROFA MARISE PAIVA,kgar,"AV LIMA E SILVA, 259, NATAL-RN",-5.8253115,-35.211727
43,CMEI PROFA RAQUEL MARIA FILGUEIRA,kgar,"DANTAS BARRETO, 1002, NATAL-RN",-5.838336200000001,-35.2449699
44,CMEI SÁTURNINA ALVES DE LUCENA,kgar,", 625, NATAL-RN",-6.2338097,-36.0163391
