TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO,,,,,,,
1494583125804;-5.82488156;-35.21955629;34.0;teste;100kPa;87C;41,6%;55,3%;NODATA;1314RPM;NODATA;6,01g/s;null;null;NODATA;Ethanol;47C;NODATA;13km/h;NODATA;2,3%;00:01:27;20,8%;MIL is OFF0 codes;;69,0%;1,0%
1494583129822;-5.82482398;-35.21968593;33.0;teste;100kPa;87C;43,1%;60,4%;NODATA;1150RPM;NODATA;5,39g/s;null;null;NODATA;Ethanol;48C;NODATA;15km/h;NODATA;-1,6%;00:01:32;18,4%;MIL is OFF0 codes;;63,1%;1,0%
1494583133835;-5.82475792;-35.21984306;33.0;teste;100kPa;87C;42,7%;50,6%;NODATA;1062RPM;NODATA;5,48g/s;null;null;NODATA;Ethanol;48C;NODATA;15km/h;NODATA;-1,6%;00:01:36;18,8%;MIL is OFF0 codes;;64,3%;1,0%
1494583137862;-5.8246947;-35.2200025;33.0;teste;100kPa;88C;37,6%;54,1%;NODATA;1103RPM;NODATA;5,32g/s;null;null;NODATA;Ethanol;48C;NODATA;16km/h;NODATA;-0,8%;00:01:40;18,8%;MIL is OFF0 codes;;65,1%;1,0%
1494583141874;-5.82463793;-35.22016389;34.0;teste;100kPa;88C;40,0%;30,6%;NODATA;1007RPM;NODATA;2,56g/s;null;null;NODATA;Ethanol;48C;NODATA;15km/h;NODATA;3,1%;00:01:44;16,5%;MIL is OFF0 codes;;68,2%;1,0%
1494583145880;-5.82459176;-35.2202853;33.0;teste;100kPa;88C;38,4%;27,5%;NODATA;770RPM;NODATA;1,85g/s;null;null;NODATA;Ethanol;48C;NODATA;9km/h;NODATA;7,8%;00:01:48;15,7%;MIL is OFF0 codes;;58,0%;1,0%
1494583149896;-5.82459176;-35.2202853;33.0;teste;100kPa;88C;41,6%;51,8%;NODATA;659RPM;NODATA;3,25g/s;null;null;NODATA;Ethanol;48C;NODATA;3km/h;NODATA;2,3%;00:01:52;16,9%;MIL is OFF0 codes;;50,6%;1,0%
1494583153947;-5.82459176;-35.2202853;33.0;teste;100kPa;89C;40,0%;51,8%;NODATA;690RPM;NODATA;3,26g/s;null;null;NODATA;Ethanol;48C;NODATA;0km/h;NODATA;0,0%;00:01:56;16,9%;MIL is OFF0 codes;;48,2%;1,0%
1494583157974;-5.82455951;-35.22032408;32.0;teste;100kPa;89C;41,2%;52,5%;NODATA;682RPM;NODATA;3,29g/s;null;null;NODATA;Ethanol;48C;NODATA;5km/h;NODATA;1,6%;00:02:00;16,9%;MIL is OFF0 codes;;53,7%;1,0%
1494583162007;-5.82443776;-35.22030144;32.0;teste;100kPa;89C;38,4%;58,4%;NODATA;1125RPM;NODATA;6,03g/s;null;null;NODATA;Ethanol;48C;NODATA;14km/h;NODATA;0,0%;00:02:04;19,6%;MIL is OFF0 codes;;62,7%;1,0%
1494583166041;-5.82423461;-35.22021293;32.0;teste;100kPa;88C;34,5%;69,0%;NODATA;1413RPM;NODATA;8,31g/s;null;null;NODATA;Ethanol;48C;NODATA;24km/h;NODATA;0,8%;00:02:08;20,8%;MIL is OFF0 codes;;60,4%;1,0%
1494583170075;-5.82395208;-35.22011038;33.0;teste;100kPa;88C;39,6%;58,4%;NODATA;1466RPM;NODATA;6,95g/s;null;null;NODATA;Ethanol;49C;NODATA;28km/h;NODATA;3,1%;00:02:12;19,6%;MIL is OFF0 codes;;66,7%;1,0%
1494583174107;-5.82366423;-35.22001532;32.0;teste;100kPa;87C;37,3%;55,7%;NODATA;1585RPM;NODATA;7,25g/s;null;null;NODATA;Ethanol;49C;NODATA;30km/h;NODATA;3,1%;00:02:16;20,0%;MIL is OFF0 codes;;71,0%;1,0%
1494583178143;-5.82336625;-35.21990595;33.0;teste;100kPa;87C;40,4%;43,5%;NODATA;1686RPM;NODATA;5,89g/s;null;null;NODATA;Ethanol;49C;NODATA;31km/h;NODATA;2,3%;00:02:20;19,2%;MIL is OFF0 codes;;72,5%;1,0%
1494583182176;-5.82308952;-35.21980004;33.0;teste;100kPa;86C;38,4%;49,8%;NODATA;1669RPM;NODATA;6,46g/s;null;null;NODATA;Ethanol;48C;NODATA;30km/h;NODATA;3,1%;00:02:24;19,6%;MIL is OFF0 codes;;72,2%;1,0%
1494583186206;-5.82279692;-35.21969045;34.0;teste;100kPa;86C;38,4%;52,5%;NODATA;1610RPM;NODATA;6,76g/s;null;null;NODATA;Ethanol;48C;NODATA;30km/h;NODATA;3,9%;00:02:28;19,6%;MIL is OFF0 codes;;71,4%;1,0%
1494583190258;-5.82252962;-35.21958395;33.0;teste;100kPa;86C;38,0%;54,1%;NODATA;1669RPM;NODATA;7,43g/s;null;null;NODATA;Ethanol;48C;NODATA;30km/h;NODATA;3,9%;00:02:32;20,4%;MIL is OFF0 codes;;71,0%;1,0%
1494583194277;-5.82222826;-35.21947482;31.0;teste;100kPa;87C;37,6%;49,0%;NODATA;1727RPM;NODATA;6,93g/s;null;null;NODATA;Ethanol;48C;NODATA;31km/h;NODATA;3,1%;00:02:36;20,0%;MIL is OFF0 codes;;71,4%;1,0%
1494583198295;-5.82192345;-35.21936832;32.0;teste;100kPa;87C;36,1%;46,3%;NODATA;1784RPM;NODATA;6,50g/s;null;null;NODATA;Ethanol;48C;NODATA;34km/h;NODATA;2,3%;00:02:40;19,6%;MIL is OFF0 codes;;71,0%;1,0%
1494583202346;-5.82162763;-35.21923924;31.0;teste;100kPa;87C;38,8%;48,2%;NODATA;1273RPM;NODATA;5,09g/s;null;null;NODATA;Ethanol;48C;NODATA;36km/h;NODATA;0,8%;00:02:44;18,4%;MIL is OFF0 codes;;70,6%;1,0%
1494583206393;-5.82130195;-35.21912608;33.0;teste;100kPa;87C;38,4%;52,5%;NODATA;1396RPM;NODATA;6,12g/s;null;null;NODATA;Ethanol;48C;NODATA;31km/h;NODATA;2,3%;00:02:48;19,6%;MIL is OFF0 codes;;68,6%;1,0%
1494583210423;-5.82099881;-35.21902849;37.0;teste;100kPa;87C;32,2%;61,6%;NODATA;1346RPM;NODATA;7,31g/s;null;null;NODATA;Ethanol;47C;NODATA;29km/h;NODATA;3,9%;00:02:52;20,4%;MIL is OFF0 codes;;64,7%;1,0%
1494583214446;-5.82092896;-35.21901253;38.0;teste;100kPa;88C;32,9%;40,4%;NODATA;867RPM;NODATA;3,25g/s;null;null;NODATA;Ethanol;47C;NODATA;21km/h;NODATA;0,0%;00:02:56;17,3%;MIL is OFF0 codes;;51,0%;1,0%
1494583218462;-5.82092896;-35.21901253;38.0;teste;100kPa;88C;32,5%;73,7%;NODATA;1593RPM;NODATA;10,04g/s;null;null;NODATA;Ethanol;47C;NODATA;24km/h;NODATA;3,9%;00:03:00;22,4%;MIL is OFF0 codes;;61,2%;1,0%
1494583222501;-5.82092896;-35.21901253;38.0;teste;100kPa;88C;34,5%;69,0%;NODATA;1614RPM;NODATA;9,62g/s;null;null;NODATA;Ethanol;47C;NODATA;26km/h;NODATA;3,9%;00:03:04;22,4%;MIL is OFF0 codes;;63,5%;1,0%
