,TIME,LATITUDE,LONGITUDE,ALTITUDE,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,MAF,SPEED,THROTTLE_POS,ENGINE_RUNTIME
0,1494583129822,-5.82482398,-35.21968593,33.0,87,60.4,1150,5.39,15,18.4,00:01:32
1,1494583133835,-5.82475792,-35.21984306,33.0,87,50.6,1062,5.48,15,18.8,00:01:36
2,1494583137862,-5.8246947,-35.2200025,33.0,88,54.1,1103,5.32,16,18.8,00:01:40
3,1494583141874,-5.82463793,-35.22016389,34.0,88,30.6,1007,2.56,15,16.5,00:01:44
4,1494583145880,-5.82459176,-35.22028529999999,33.0,88,27.5,770,1.85,9,15.7,00:01:48
5,1494583149896,-5.82459176,-35.22028529999999,33.0,88,51.8,659,3.25,3,16.9,00:01:52
6,1494583153947,-5.82459176,-35.22028529999999,33.0,89,51.8,690,3.26,0,16.9,00:01:56
7,1494583157974,-5.82455951,-35.22032408,32.0,89,52.5,682,3.29,5,16.9,00:02:00
8,1494583162007,-5.82443776,-35.22030144,32.0,89,58.4,1125,6.03,14,19.6,00:02:04
9,1494583166041,-5.82423461,-35.22021293,32.0,88,69.0,1413,8.31,24,20.8,00:02:08
10,1494583170075,-5.82395208,-35.22011038,33.0,88,58.4,1466,6.95,28,19.6,00:02:12
11,1494583174107,-5.82366423,-35.22001532,32.0,87,55.7,1585,7.25,30,20.0,00:02:16
12,1494583178143,-5.82336625,-35.21990595,33.0,87,43.5,1686,5.89,31,19.2,00:02:20
13,1494583182176,-5.82308952,-35.21980004,33.0,86,49.8,1669,6.46,30,19.6,00:02:24
14,1494583186206,-5.82279692,-35.21969045,34.0,86,52.5,1610,6.76,30,19.6,00:02:28
15,1494583190258,-5.82252962,-35.21958395,33.0,86,54.1,1669,7.43,30,20.4,00:02:32
16,1494583194277,-5.82222826,-35.21947482,31.0,87,49.0,1727,6.93,31,20.0,00:02:36
17,1494583198295,-5.82192345,-35.21936832,32.0,87,46.3,1784,6.5,34,19.6,00:02:40
18,1494583202346,-5.82162763,-35.21923924,31.0,87,48.2,1273,5.09,36,18.4,00:02:44
19,1494583206393,-5.82130195,-35.21912608,33.0,87,52.5,1396,6.12,31,19.6,00:02:48
20,1494583210423,-5.82099881,-35.21902849,37.0,87,61.6,1346,7.31,29,20.4,00:02:52
21,1494583214446,-5.82092896,-35.21901253,38.0,88,40.4,867,3.25,21,17.3,00:02:56
22,1494583218462,-5.82092896,-35.21901253,38.0,88,73.7,1593,10.04,24,22.4,00:03:00
23,1494583222501,-5.82092896,-35.21901253,38.0,88,69.0,1614,9.62,26,22.4,00:03:04
24,1494583226542,-5.82092896,-35.21901253,38.0,88,67.8,1669,9.46,25,22.0,00:03:08
25,1494583230578,-5.82092896,-35.21901253,38.0,88,62.4,1798,9.6,28,21.6,00:03:12
26,1494583234611,-5.82092896,-35.21901253,38.0,87,42.4,1864,6.26,32,19.6,00:03:16
27,1494583238645,-5.82092896,-35.21901253,38.0,87,41.6,1769,6.23,32,19.2,00:03:20
28,1494583242678,-5.82092896,-35.21901253,38.0,87,45.5,1820,6.53,30,19.6,00:03:23
29,1494583246698,-5.82092896,-35.21901253,38.0,87,31.8,1178,3.39,12,17.3,00:03:27
30,1494583250746,-5.82092896,-35.21901253,38.0,88,43.5,764,3.15,4,16.9,00:03:31
31,1494583254775,-5.82092896,-35.21901253,38.0,88,64.3,1211,7.45,15,20.8,00:03:35
32,1494583258812,-5.82092896,-35.21901253,38.0,88,60.4,1419,6.79,23,20.0,00:03:39
33,1494583262846,-5.82092896,-35.21901253,38.0,88,22.7,1122,1.95,20,15.7,00:03:43
34,1494583266880,-5.82092896,-35.21901253,38.0,88,25.1,867,3.65,5,16.5,00:03:47
35,1494583270910,-5.82092896,-35.21901253,38.0,89,51.0,682,3.2,0,16.9,00:03:51
36,1494583274945,-5.82092896,-35.21901253,38.0,89,50.6,663,3.23,7,16.9,00:03:55
37,1494583278979,-5.82092896,-35.21901253,38.0,89,62.0,1564,7.68,20,20.4,00:03:59
38,1494583283010,-5.82092896,-35.21901253,38.0,88,54.9,1385,5.76,23,19.2,00:04:03
39,1494583287045,-5.82092896,-35.21901253,38.0,88,67.5,1438,9.01,29,22.0,00:04:07
40,1494583291076,-5.82092896,-35.21901253,38.0,88,57.6,1589,7.09,29,20.0,00:04:11
41,1494583295110,-5.82092896,-35.21901253,38.0,87,56.9,1785,8.56,34,20.8,00:04:15
42,1494583299142,-5.82092896,-35.21901253,38.0,87,57.3,1310,6.31,37,19.6,00:04:19
43,1494583303179,-5.82092896,-35.21901253,38.0,88,57.6,1353,7.03,37,20.0,00:04:23
44,1494583307212,-5.82092896,-35.21901253,38.0,88,40.4,1304,2.62,35,16.5,00:04:27
45,1494583311245,-5.82092896,-35.21901253,38.0,87,33.3,1111,3.45,33,17.3,00:04:31
46,1494583315277,-5.82092896,-35.21901253,38.0,87,36.5,1014,3.39,25,17.3,00:04:35
47,1494583319312,-5.82092896,-35.21901253,38.0,87,37.3,988,3.14,6,17.6,00:04:39
48,1494583323346,-5.82092896,-35.21901253,38.0,87,32.5,553,1.51,0,15.3,00:04:43
49,1494583327377,-5.82092896,-35.21901253,38.0,88,39.2,678,2.68,0,16.5,00:04:47
50,1494583331429,-5.82092896,-35.21901253,38.0,88,54.1,749,3.71,0,17.3,00:04:51
51,1494583335481,-5.82092896,-35.21901253,38.0,88,52.9,712,3.45,0,17.3,00:04:55
52,1494583339533,-5.82092896,-35.21901253,38.0,89,52.2,694,3.34,0,17.3,00:04:59
53,1494583343585,-5.82092896,-35.21901253,38.0,89,52.2,700,3.37,0,17.3,00:05:03
54,1494583347639,-5.82092896,-35.21901253,38.0,90,52.2,700,3.34,0,17.3,00:05:07
55,1494583351692,-5.82092896,-35.21901253,38.0,90,52.5,803,3.93,0,17.6,00:05:11
56,1494583355743,-5.82092896,-35.21901253,38.0,90,53.3,785,3.9,6,17.6,00:05:15
57,1494583359790,-5.82092896,-35.21901253,38.0,89,55.3,1146,6.29,14,19.6,00:05:19
58,1494583363820,-5.82092896,-35.21901253,38.0,88,73.3,1315,8.85,22,22.0,00:05:23
59,1494583367858,-5.82092896,-35.21901253,38.0,88,70.6,1645,9.96,28,22.7,00:05:27
60,1494583371911,-5.82092896,-35.21901253,38.0,88,67.1,1782,10.29,32,22.4,00:05:31
61,1494583375963,-5.82092896,-35.21901253,38.0,87,62.7,1852,10.18,37,22.0,00:05:35
62,1494583380000,-5.82092896,-35.21901253,38.0,87,44.3,1336,2.4,34,16.1,00:05:39
63,1494583384052,-5.82092896,-35.21901253,38.0,88,25.1,847,2.01,14,15.7,00:05:43
64,1494583388104,-5.82092896,-35.21901253,38.0,88,42.0,814,3.1,7,16.9,00:05:47
65,1494583392156,-5.82092896,-35.21901253,38.0,88,60.8,1260,6.67,11,20.0,00:05:51
66,1494583396209,-5.82092896,-35.21901253,38.0,88,51.0,1506,6.1,14,19.2,00:05:55
67,1494583400261,-5.82092896,-35.21901253,38.0,88,60.0,1157,5.93,17,19.2,00:05:59
68,1494583404314,-5.82092896,-35.21901253,38.0,88,49.4,1151,4.42,17,18.0,00:06:03
69,1494583408366,-5.82092896,-35.21901253,38.0,88,41.6,1039,3.71,17,17.6,00:06:07
70,1494583412379,-5.82092896,-35.21901253,38.0,89,26.7,883,2.01,18,16.1,00:06:11
71,1494583416431,-5.82092896,-35.21901253,38.0,88,37.6,1114,3.39,17,17.6,00:06:14
72,1494583420478,-5.82092896,-35.21901253,38.0,88,55.7,1185,5.35,18,18.8,00:06:18
73,1494583424530,-5.82092896,-35.21901253,38.0,88,57.3,1225,6.03,17,19.2,00:06:22
74,1494583428582,-5.82092896,-35.21901253,38.0,88,56.1,1217,5.56,18,18.8,00:06:26
75,1494583432635,-5.82092896,-35.21901253,38.0,88,46.7,1206,4.17,20,17.6,00:06:30
